Team Name,Season,Week,Goal Type,Goal Description,Goal Target,Goal Actual,Goal Unit,
Team Kelly (name pending),2,2,Lifestyle,Read 60 minutes,7,5,Days,
Team SMASH FASCISM,2,2,Diet,1 gluten free meal,4,5,Days,
Team SMASH FASCISM,2,2,Diet,No booze,4,4,Days,
Team SMASH FASCISM,2,2,Exercise,Morning yoga/meditation ,7,7,Days,
Team SMASH FASCISM,2,2,Exercise,Bike ride,60,0,Minutes,
Team SMASH FASCISM,2,2,Lifestyle,Meditate before bed,5,3,Days,
Team SMASH FASCISM,2,2,Lifestyle,Read,120,70,Minutes,
Team DWAFAWAT,2,2,Diet,Goop,7,5,Days,
Team DWAFAWAT,2,2,Diet,Calorie Intake,1578.142857,2200,Calories,
Team DWAFAWAT,2,2,Exercise,Cardio,350,300,Days,
Team DWAFAWAT,2,2,Exercise,Stretch,400,365,Minutes,
Team DWAFAWAT,2,2,Lifestyle,Journal,14,14,Times,
Team DWAFAWAT,2,2,Lifestyle,Meditate,105,130,Minutes,
Team Love Me Desserts ,2,2,Exercise,Walk Dogs ,4,2,Days,
Team Love Me Desserts ,2,2,Exercise,10 min warmups,6,6,Days,
Team Love Me Desserts ,2,2,Diet,No Desert,4,4,Days,
Team Love Me Desserts ,2,2,Diet,Eat Veggies with two meals,5,5,Days,
Team Love Me Desserts ,2,2,Lifestyle,Stretch ,5,4,Days,
Team Love Me Desserts ,2,2,Lifestyle,Read for 30 min,3,2,Days,
Team Harold Sample,2,2,Exercise,Play Hockey,3,4,Days,
Team Harold Sample,2,2,Exercise,Weight Lift (upper / core / stretch),3,0,Days,
Team Harold Sample,2,2,Diet,No Chips / Candy / Soda,7,0,Days,
Team Harold Sample,2,2,Diet,No Booze,7,5,Days,
Team Harold Sample,2,2,Lifestyle,Hit on a lady,1,0,Days,
Team Harold Sample,2,2,Lifestyle,Work on code outside of work,5,3,Hours,
Team Fluffy Bunny,2,3,Diet,Food Journal,5,,days,
Team Fluffy Bunny,2,3,Diet,Meal prep lunch,4,,Meals,
Team Fluffy Bunny,2,3,Exercise,Core workout,3,,sessions,
Team Fluffy Bunny,2,3,Exercise,Two a days,3,,days,
Team Fluffy Bunny,2,3,Lifestyle,Meditation,90,,minutes,
Team Fluffy Bunny,2,3,Lifestyle,complete to do items,6,,items,
Team Fluffy Bunny,2,3,Lifestyle,complete to do items,5,,,
Team Kelly (name pending),2,3,Diet,Non-meat meals,10,,,
Team Kelly (name pending),2,3,Diet,No Booze,3,,,
Team Kelly (name pending),2,3,Exercise,Ride stationary bike,80,,,
Team Kelly (name pending),2,3,Exercise,Core workout,3,,,
Team Kelly (name pending),2,3,Lifestyle,Medidate ,3,,,
Team Kelly (name pending),2,3,Lifestyle,Read 60 minutes,7,,,
Team SMASH FASCISM,2,2,Diet,1 gluten free meal,4,,Days,
Team SMASH FASCISM,2,2,Diet,No booze,4,,Days,
Team SMASH FASCISM,2,2,Exercise,Morning yoga/meditation ,7,,Days,
Team SMASH FASCISM,2,2,Exercise,Bike ride,60,,Minutes,
Team SMASH FASCISM,2,2,Lifestyle,Meditate before bed,5,,Days,
Team SMASH FASCISM,2,2,Lifestyle,Read,120,,Minutes,
Team Harold Sample,2,3,Exercise,Play Hockey,3,0,Days,
Team Harold Sample,2,3,Exercise,Weight Lift (upper / core / stretch),3,1,Days,
Team Harold Sample,2,3,Diet,No Chips / Candy / Soda,5,0,Days,
Team Harold Sample,2,3,Diet,No Booze,7,0,Days,
Team Harold Sample,2,3,Lifestyle,Hit on a lady,1,0,Days,
Team Harold Sample,2,3,Lifestyle,Work on code outside of work,8,3,Hours,
